batch size,learning rate,Oversample rate,max f1 score
16,0.001,0.0,0.0
16,0.001,0.5,0.54
16,0.001,1.0,0.52
16,0.001,2.0,0.66
32,0.001,0.0,0.48
32,0.001,0.5,0.58
32,0.001,1.0,0.69
32,0.001,2.0,0.7
64,0.001,0.0,0.69
64,0.001,0.5,0.67
64,0.001,1.0,0.56
64,0.001,2.0,0.71
128,0.001,0.0,0.72
128,0.001,0.5,0.71
128,0.001,1.0,0.68
128,0.001,2.0,0.71
256,0.001,0.0,0.68
256,0.001,0.5,0.6
256,0.001,1.0,0.72
256,0.001,2.0,0.72
16,0.0001,0.0,0.39
16,0.0001,0.5,0.66
16,0.0001,1.0,0.7
16,0.0001,2.0,0.58
32,0.0001,0.0,0.66
32,0.0001,0.5,0.68
32,0.0001,1.0,0.69
32,0.0001,2.0,0.69
64,0.0001,0.0,0.56
64,0.0001,0.5,0.69
64,0.0001,1.0,0.7
64,0.0001,2.0,0.7
128,0.0001,0.0,0.72
128,0.0001,0.5,0.72
128,0.0001,1.0,0.71
128,0.0001,2.0,0.68
256,0.0001,0.0,0.72
256,0.0001,0.5,0.71
256,0.0001,1.0,0.71
256,0.0001,2.0,0.7
16,1e-05,0.0,0.11
16,1e-05,0.5,0.41
16,1e-05,1.0,0.48
16,1e-05,2.0,0.39
32,1e-05,0.0,0.13
32,1e-05,0.5,0.38
32,1e-05,1.0,0.58
32,1e-05,2.0,0.5
64,1e-05,0.0,0.14
64,1e-05,0.5,0.49
64,1e-05,1.0,0.63
64,1e-05,2.0,0.53
128,1e-05,0.0,0.13
128,1e-05,0.5,0.48
128,1e-05,1.0,0.58
128,1e-05,2.0,0.61
256,1e-05,0.0,0.33
256,1e-05,0.5,0.6
256,1e-05,1.0,0.67
256,1e-05,2.0,0.59
